sectors,keyword_es
Transversal,3disco
Agro,abejas nativas
Piscícola,abonado de estanques de acuicultura
Transversal,absorción
Transversal,aceites esenciales
Transversal,actividad antioxidante
Piscícola,acuicultura
Piscícola,acuicultura sobre los recursos acuáticos
Salud,adenovirus oncolítico
Transversal,administración de seguridad 
Transversal,administracion del agua
Transversal,adn
Biotecnología,adn recombinante
Biotecnología,agentes de biocontrol
Biotecnología,amplicón
Transversal,adsorción
Biotecnología,análisis bioquímico
Agro,agricultura
Agro,agricultura apoyada por el desarrollo
Agro,agricultura celular
Agro,agricultura de conservación
Agro,agricultura de precisión
Agro,agricultura de zona rural
Agro,agricultura ecológica
Agro,agricultura en ambiente controlado
Agro,agricultura familiar
Agro,agricultura híbrida
Agro,agricultura inteligente
Agro,agricultura orgánica
Agro,agricultura periurbana
Agro,agricultura sin residuos
Agro,agricultura sostenible
Agro,agricultura urbana
Agro,agroalimentario
Agro,agrobacteria
Agro,agrobiodiversidad
Agro,agroecología
Agro,agroforestería
Agro,agroinfiltración
Agro,agronegocios
Agro,agronomía
Residuos,aguas residuales del café
Transversal,alcaloides
Salud,alimentos funcionales
Transversal,almacenar materias primas alimentarias
Biotecnología,análisis de adn
Transversal,ambiente
Transversal,amenazas ambientales
Biotecnología,análisis fitoquímico
Biotecnología,análisis genético
Biotecnología,antibacterianos
Transversal,análisis ambiental
Biotecnología,anticuerpos policlonales
Transversal,análisis composicional
Transversal,análisis cuantitativo
Biotecnología,antimicrobianos
Agro,análisis de alimentos
Transversal,análisis de cadenas de valor
Transversal,análisis de costo-efectividad
Transversal,análisis de la cadena de valor
Transversal,análisis de políticas
Agro,análisis de producción de cultivos.
Transversal,análisis de redes sociales
Agro,análisis de suelos
Biotecnología,aptámero
Transversal,análisis econométrico
Transversal,análisis económico
Transversal,análisis estadístico
Biotecnología,arn
Forestal,análisis forestal
Transversal,análisis funcional
Biotecnología,bacterias de ácido láctico
Transversal,análisis microbiológico
Transversal,análisis microbiológico en alimentos
Transversal,análisis químico
Biotecnología,bacteriología
Biotecnología,bioactividad
Biotecnología,biocatálisis
Salud,antibióticos
Salud,anticuerpo
Salud,anticuerpo monoclonal
Biotecnología,biocontrol
Biotecnología,biodegradación
Transversal,antioxidantes
Transversal,antioxidantes naturales
Transversal,antocianinas
Agro,apicultura
Biotecnología,bioestimulación
Transversal,aptámero del ácido l-ribonucleico
Transversal,armonía con la naturaleza
Biotecnología,biofabricación
Biotecnología,biofuncionalización
Transversal,arqueobotánica
Transversal,arquitectura sostenible
Transversal,bacterias
Biotecnología,biohidrometalurgia
Biotecnología,bioinformática
Biotecnología,bioinstrumentación
Transversal,bacteriología
Biotecnología,biología celular molecular
Transversal,basado en la naturaleza
Transversal,base de datos ncbi
Residuos,basura orgánica
Biotecnología,biología de la ingeniería
Transversal,bienes y servicios ecológicos.
Biotecnología,biología molecular
Agro,biología reproductiva vegetal
Transversal,bioacústica
Energía,biocarbón
Biotecnología,biología sintética
Biotecnología,biomateriales poliméricos
Transversal,biociencia
Energía,biocombustible
Salud,biocompatibilidad
Biotecnología,bionanotecnología
Biotecnología,bioprospección
Transversal,biodegradación microbiana
Energía,biodiésel
Energía,biodigestato
Energía,biodigestatos
Transversal,biodiversidad
Agro,biodiversidad agrícola
Agro,cosecha de plantas
Transversal,bioeconomía
Transversal,bioelectrónica
Energía,bioenergía
Transversal,bioestadística
Biotecnología,bioprospección
Transversal,bioética
Biotecnología,biorreactor
Transversal,biofabricación
Salud,biofarmacéutico
Agro,biofertilizantes
Transversal,biofísica
Biotecnología,biorreactor
Energía,biohidrógeno
Biotecnología,biorrefinación
Biotecnología,biorrefinería
Biotecnología,biorrefinerías de próxima generación
Agro,bioinsumos
Salud,bioleyenda
Agro,biolixiviación
Transversal,biología
Transversal,biología aplicada
Biotecnología,biorremediación 
Transversal,biología combinatoria
Transversal,biología computacional
Transversal,biología de la conservación
Piscícola,biología de la ecología acuática.
Biotecnología,biorremediación ambiental
Transversal,biología de la reproducción
Piscícola,biología de los peces
Transversal,biologia de sistemas
Transversal,biología de sistemas complejos
Agro,biología del suelo
Transversal,biología floral
Forestal,biología forestal
Transversal,biología fúngica
Biotecnología,biorremediación in situ
Transversal,biología molecular microbiana
Biotecnología,biosensores fotónicos
Transversal,biología reproductiva
Agro,métodos de cosecha de plantas.
Biotecnología,bioseparación
Agro,nutrición del suelo vegetal
Transversal,biomagnética
Salud,biomarcador 
Salud,biomarcadores
Transversal,biomasa
Transversal,biomateriales
Biotecnología,biosurfactante
Transversal,biomecánica
Salud,biomedicina
Energía,biometano
Transversal,biomimética
Transversal,biomimético
Transversal,biomimetismo
Biotecnología,biotecnología ambiental
Transversal,biónica
Agro,biopesticida
Agro,biopesticidas microbianos
Transversal,biopiratería
Agro,bioplásticos
Transversal,biopolimerización
Transversal,biopolímeros
Transversal,bioprocesador
Transversal,bioproceso
Transversal,bioproductos
Biotecnología,biotecnología animal
Biotecnología,biotecnología de fermentación
Transversal,bioquímica
Transversal,bioquímica analítica
Agro,bioquímica animal
Transversal,bioquímica de proteínas
Agro,nutrición vegetal
Transversal,bioquímicos
Biotecnología,biotecnología de hongos
Biotecnología,biotecnología industrial
Transversal,biorreactor de algas
Agro,plan de proteccion
Biotecnología,biotransductor
Biotecnología,biotransformación
Biotecnología,biotransformación
Biotecnología,biovalorización
Biotecnología,buenas prácticas de laboratorio (bpl)
Biotecnología,catálisis enzimática
Transversal,biorrobótica
Agro,bioseguridad ganadera
Biotecnología,ciencias de la vida
Biotecnología,cinética de reacción
Biotecnología,citogenética
Transversal,biosimilar
Transversal,biosíntesis
Biotecnología,citometría de flujo
Transversal,biotecnología
Agro,biotecnología agrícola
Biotecnología,clonación
Biotecnología,clonación molecular
Biotecnología,compartimentación in vitro
Biotecnología,compuestos bioactivos
Forestal,biotecnología forestal
Biotecnología,conjugación bacteriana
Transversal,biotecnología microbiana
Biotecnología,control biológico
Biotecnología,conversión de biomasa
Biotecnología,crispr
Biotecnología,cromatografía
Biotecnología,cromatografía líquida
Agro,botánica
Agro,buenas prácticas agrícolas
Biotecnología,cromatografía líquida de alto rendimiento (hplc)
Transversal,cadena de suministro
Agro,calidad de la comida
Transversal,calidad del agua
Piscícola,calidad del agua para la acuicultura
Agro,callo 
Transversal,cambio climático
Agro,carne cultivada
Biotecnología,cultivo de células
Agro,catalizadores de fertilizantes
Transversal,celda de electrólisis microbiana
Salud,célula madre adulta
Salud,células madre
Salud,células madre embrionarias
Salud,células madre inducidas
Residuos,ceniza de carbón
Residuos,ceniza de madera
Transversal,certificación sostenible
Biotecnología,cultivo de células bacterianas
Biotecnología,cultura axénica
Salud,ciencia biomedica
Transversal,ciencia de biomateriales
Agro,ciencia de los alimentos
Salud,ciencia médica
Biotecnología,datos botánicos
Biotecnología,diagnóstico molecular
Transversal,circularidad
Transversal,círculos de sostenibilidad
Biotecnología,dinámica molecular
Biotecnología,diseño de biorreactor
Salud,citotoxicidad
Biotecnología,diseño racional
Biotecnología,diversidad genetica
Biotecnología,ecobiotecnología
Transversal,codificación de 2 bases
Biotecnología,ecología del comportamiento
Biotecnología,ecología del fitoplancton
Energía,combustible biodiésel
Energía,combustible neutro en carbono
Agro,comida funcional
Piscícola,comida para pez
Biotecnología,economía de base biológica
Agro,composición de productos alimenticios.
Transversal,composición química del azúcar.
Agro,compost
Biotecnología,edición de elección
Transversal,computación biológica
Transversal,comunidad sostenible
Biotecnología,edición de genes
Biotecnología,edición de genes crispr
Salud,conjugado anticuerpo-fármaco
Salud,conjugado anticuerpo-oligonucleótido
Transversal,conservación
Transversal,conservación biológica
Forestal,conservación de bosques
Agro,conservación de cultivos
Transversal,conservación de la biodiversidad
Agro,conservación de los alimentos
Transversal,conservación de recursos naturales
Transversal,conservacion de vida salvaje
Agro,conservacion del suelo
Agro,conservación del suelo y el agua
Transversal,conservación natural
Turismo,conservación natural
Biotecnología,edición del genoma
Transversal,construcción sostenible
Transversal,consumo verde
Transversal,contaminación ambiental
Biotecnología,edición principal
Agro,control biológico
Agro,taxonomía vegetal
Transversal,control de procesos
Transversal,conversión de biomasa
Biotecnología,edificio verde
Transversal,corredor de ciencias biológicas de michigan
Agro,virus vegetal
Transversal,crecimiento limpio
Agro,cría de animales
Agro,cría por mutación
Agro,crianza selectiva
Biotecnología,electrocinética de carga inducida
Biotecnología,electroforesis
Biotecnología,electroforesis en gel
Biotecnología,electroporación
Salud,cuerpos de inclusión
Transversal,cuestiones de conservación
Agro,cultivar cultivos para biomasa.
Agro,cultivar cultivos para biomasa.
Biotecnología,embriogénesis somática
Transversal,cultivo de células 3d por levitación magnética
Biotecnología,empalamiento
Agro,cultivo de gusanos
Transversal,cultivo microbiano
Agro,cultivo para biomasa
Transversal,cultivos alimentarios microbianos.
Agro,cultivos industriales
Agro,cultivos modificados genéticamente
Agro,cultivos para biomasa
Biotecnología,ensayos in vitro
Biotecnología,ensayos in vivo
Biotecnología,enzima restrictiva
Transversal,de base biológica
Salud,dendrosoma
Biotecnología,enzimas
Agro,desarrollar políticas agrícolas
Biotecnología,enzimología
Agro,desarrollo agrícola
Agro,desarrollo de bioplaguicidas
Transversal,desarrollo de bioprocesos
Transversal,desarrollo de bioproductos
Transversal,desarrollo de bioproductos
Transversal,desarrollo ecoindustrial
Transversal,desarrollo ecológicamente sostenible
Transversal,desarrollo económico sostenible
